Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
Kyle Chalmers,M,18,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Gold,Brazil,1,2868,2868
Kyle Chalmers,M,18,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Brazil,1,2868,2868
Kyle Chalmers,M,18,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Brazil,1,2868,2868
Michelle Louise Chandler (-Cleary),F,22,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
James Jonathan Chapman,M,32,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver,United Kingdom,1,2569,2569
"Susan Claire ""Sue"" Chapman (-Popa)",F,21,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze,United States of America,5,287,1944.05
"Richard Ian ""Ric"" Charlesworth",M,24,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Grahame Francis Cheney,M,19,Australia,AUS,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,Silver,South Korea,2,403,1839
Emilee Cherry,F,23,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Brazil,1,2868,2868
Baeden Ty Choppy,M,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
"Christopher ""Chris"" Ciriello",M,26,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
"Daniel ""Danny"" Clark",M,20,Australia,AUS,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver,Germany,1,18,18
"Ronald William ""Ron"" Clarke",M,27,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",Bronze,Japan,4,1.6,3694.1
Jacob Clear,M,27,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,United Kingdom,1,2569,2569
"Elspeth Catherine Clement (Swain-, -Denning)",F,31,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
Brien William Baxter Cobcroft,M,34,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze,Mexico,1,9.8,9.8
"Briony Christine ""Bree"" Cole",F,25,Australia,AUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Synchronized Platform,Silver,China,1,1739,1739
"Daniel James ""Danny"" Collins",M,25,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,United States of America,5,898,1944.05
"Daniel James ""Danny"" Collins",M,29,Australia,AUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver,Australia,1,1332,1332
Alva Merlin Colquhoun,F,18,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Italy,2,1.2,832.2
Adam David Commens,M,24,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Natalie Louise Cook,F,21,Australia-1,AUS,1996 Summer,1996,Summer,Atlanta,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze,United States of America,5,898,1944.05
Natalie Louise Cook,F,25,Australia-1,AUS,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold,Australia,1,1332,1332
Tamsin Cook,F,17,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Brazil,1,2868,2868
Allison Petra Cook-Tranquilli,F,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
Allison Petra Cook-Tranquilli,F,31,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Greece,1,1494,1494
Ian Cooke,M,24,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Andrew Dollman Cooper,M,27,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Gold,Spain,1,636,636
"Bradford Paul ""Brad"" Cooper",M,18,Australia,AUS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,Gold,Germany,1,18,18
Kim Cooper (-Maguire),F,30,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
"Gregory Dean ""Greg"" Corbitt",M,20,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Daniela Costian,F,27,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's Discus Throw,Bronze,Spain,1,636,636
Alicia Jayne Coutts,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,United Kingdom,1,2569,2569
Alicia Jayne Coutts,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,United Kingdom,1,2569,2569
Alicia Jayne Coutts,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Butterfly,Bronze,United Kingdom,1,2569,2569
Alicia Jayne Coutts,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Individual Medley,Silver,United Kingdom,1,2569,2569
Alicia Jayne Coutts,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United Kingdom,1,2569,2569
Rohanee Cox,F,27,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,China,1,1739,1739
"Annemarie Josefina ""Anna"" Cox-Wood",F,29,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze,United States of America,5,898,1944.05
Brian John Crago,M,34,Australia,AUS,1960 Summer,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,Italy,2,1.2,832.2
Lorraine Joyce Crapp (-Thurlow),F,21,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Italy,2,1.2,832.2
David William Crawshay,M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold,China,1,1739,1739
Kylie Cronk,F,24,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze,China,1,1739,1739
Mervyn Richard Crossman,M,29,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,Japan,4,1.6,3694.1
"Kimberley ""Kim"" Crow-Brennan",F,26,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Single Sculls,Bronze,United Kingdom,1,2569,2569
"Kimberley ""Kim"" Crow-Brennan",F,26,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Double Sculls,Silver,United Kingdom,1,2569,2569
"Kimberley ""Kim"" Crow-Brennan",F,30,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Single Sculls,Gold,Brazil,1,2868,2868
Carolyn Crudgington,F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
"Timothy John ""Tim"" Cuddihy",M,17,Australia,AUS,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Individual,Bronze,Greece,1,1494,1494
Nikita Cuffe,F,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
John Bruce Cuneo,M,44,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold,Germany,1,18,18
Ben Cureton,M,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Greece,1,1494,1494
Nina Curtis,F,24,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Three Person Keelboat,Silver,United Kingdom,1,2569,2569
Robert Stephen Cusack,M,17,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Mexico,1,9.8,9.8
"Elizabeth Alyse ""Betty"" Cuthbert",F,26,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Gold,Japan,4,1.6,3694.1
Chloe Elysha Dalton,F,23,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Brazil,1,2868,2868
Barry Dancer,M,23,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
Lisa Darmanin,F,24,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Silver,Brazil,1,2868,2868
Lara Shiree Davenport,F,24,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,China,1,1739,1739
Grant Jon Davies,M,25,Australia,AUS,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,South Korea,2,403,1839
Stephen John Davies,M,23,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Stephen John Davies,M,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Stephen John Davies,M,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Hannah Davis,F,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze,China,1,1739,1739
Peter Douglas Dawson,M,22,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Greece,1,1494,1494
Liam Andrew De Young,M,22,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Liam Andrew De Young,M,26,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Liam Andrew De Young,M,30,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
Nathan Douglas Deakes,M,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,Bronze,Greece,1,1494,1494
Paul Robert Dearing,M,22,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,Japan,4,1.6,3694.1
Paul Robert Dearing,M,26,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Silver,Mexico,1,9.8,9.8
Timothy Deavin,M,27,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
"Ashley Jason ""Ash"" Delaney",M,22,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,China,1,1739,1739
Michael William Delany,M,18,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,United States of America,5,287,1944.05
Patricia Dench,F,52,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze,United States of America,5,287,1944.05
Helen Jennifer Denman,F,19,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United States of America,5,898,1944.05
Rohan Dennis,M,22,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,United Kingdom,1,2569,2569
Erin Densham,F,27,Australia,AUS,2012 Summer,2012,Summer,London,Triathlon,Triathlon Women's Olympic Distance,Bronze,United Kingdom,1,2569,2569
John Thomas Devitt,M,23,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,Gold,Italy,2,1.2,832.2
John Thomas Devitt,M,23,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Italy,2,1.2,832.2
Steven Dennis Dewick,M,20,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,898,1944.05
Michael Constantine Diamond (Diamondopoulous-),M,24,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,Gold,United States of America,5,898,1944.05
Michael Constantine Diamond (Diamondopoulous-),M,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Trap,Gold,Australia,1,1332,1332
David Gavin Dickson,M,19,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Italy,2,1.2,832.2
David Gavin Dickson,M,23,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Japan,4,1.6,3694.1
David Gavin Dickson,M,23,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Japan,4,1.6,3694.1
Peter James Dickson,M,23,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver,Mexico,1,9.8,9.8
Kerry Dienelt,F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
Kerry Dienelt,F,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Damon Laurance Diletti,M,21,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Damon Laurance Diletti,M,25,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Damon Laurance Diletti,M,29,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Tommaso D'Orsogna,M,21,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United Kingdom,1,2569,2569
Peter John Doak,M,20,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Japan,4,1.6,3694.1
Louise Karen Dobson,F,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,United States of America,5,898,1944.05
"Benjamin Philip ""Ben"" Dodwell",M,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Bronze,Australia,1,1332,1332
Luke Doerner,M,28,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Amanda Doman,F,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Greece,1,1494,1494
Loretta Dorman,F,25,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
Ralph Douglas Doubell,M,23,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,Gold,Mexico,1,9.8,9.8
David G. A. Douglas,M,21,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver,Mexico,1,9.8,9.8
Lachlan George Dreher,M,25,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Lachlan George Dreher,M,29,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Lachlan George Dreher,M,33,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Jason Paul Duff,M,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Joshua Dunkley-Smith,M,23,Australia,AUS,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxless Fours,Silver,United Kingdom,1,2569,2569
Joshua Dunkley-Smith,M,27,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Fours,Silver,Brazil,1,2868,2868
Brett Allan Dutton,M,21,Australia,AUS,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,South Korea,2,403,1839
Phillip Peter Dutton,M,32,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,United States of America,5,898,1944.05
Phillip Peter Dutton,M,37,Australia,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold,Australia,1,1332,1332
"Alfred Walter ""Alf"" Duval",M,27,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver,Mexico,1,9.8,9.8
Jamie Raymond Dwyer,M,25,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Jamie Raymond Dwyer,M,29,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,China,1,1739,1739
Jamie Raymond Dwyer,M,33,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze,United Kingdom,1,2569,2569
"Patrick ""Pat"" Dwyer",M,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Greece,1,1494,1494
Sean Patrick Eadie,M,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Bronze,Australia,1,1332,1332
Peta Louise Edebone,F,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze,United States of America,5,898,1944.05
Peta Louise Edebone,F,31,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Peta Louise Edebone,F,35,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Greece,1,1494,1494
"Alexander ""Alex"" Edmondson",M,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Brazil,1,2868,2868
Annette Edmondson,F,20,Australia,AUS,2012 Summer,2012,Summer,London,Cycling,Cycling Women's Omnium,Bronze,United Kingdom,1,2569,2569
Ian Edmunds,M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze,United States of America,5,287,1944.05
Anthony John Edwards,M,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Bronze,United States of America,5,898,1944.05
Anthony John Edwards,M,27,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Australia,1,1332,1332
Anthony John Edwards,M,31,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Silver,Greece,1,1494,1494
Nathan John Eglington,M,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
Troy Elder,M,22,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Troy Elder,M,26,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold,Greece,1,1494,1494
"Herbert James ""Herb"" Elliott",M,22,Australia,AUS,1960 Summer,1960,Summer,Roma,Athletics,"Athletics Men's 1,500 metres",Gold,Italy,2,1.2,832.2
"James Andrew ""Jimmy"" Elmer",M,29,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze,Australia,1,1332,1332
Lachlan Anthony Elmer,M,23,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Lachlan Anthony Elmer,M,27,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze,United States of America,5,898,1944.05
Brittany Joyce Elmslie,F,18,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,United Kingdom,1,2569,2569
Brittany Joyce Elmslie,F,18,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,United Kingdom,1,2569,2569
Brittany Joyce Elmslie,F,18,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,United Kingdom,1,2569,2569
Brittany Joyce Elmslie,F,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Brazil,1,2868,2868
Brittany Joyce Elmslie,F,22,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Brazil,1,2868,2868
Chloe Esposito,F,24,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Modern Pentathlon,Modern Pentathlon Women's Individual,Gold,Brazil,1,2868,2868
Gemma Etheridge,F,29,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Brazil,1,2868,2868
Blair Catherine Evans,F,21,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,United Kingdom,1,2569,2569
Dean Michael Evans,M,25,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Silver,Spain,1,636,636
Peter Maxwell Evans,M,18,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,Bronze,Russia,2,88,1377
Peter Maxwell Evans,M,18,Australia,AUS,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,Russia,2,88,1377
Peter Maxwell Evans,M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,Bronze,United States of America,5,287,1944.05
Peter Maxwell Evans,M,22,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,United States of America,5,287,1944.05
"Raymond Garry ""Ray"" Evans",M,25,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Bronze,Japan,4,1.6,3694.1
"Raymond Garry ""Ray"" Evans",M,29,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Silver,Mexico,1,9.8,9.8
"Stephen Frederick ""Steve"" Evans",M,21,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze,United States of America,5,287,1944.05
Ruth Rhonda Everuss,F,16,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Italy,2,1.2,832.2
"Suzanne Helen ""Sue"" Fairhurst",F,26,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Australia,1,1332,1332
Simon John Fairweather,M,30,Australia,AUS,2000 Summer,2000,Summer,Sydney,Archery,Archery Men's Individual,Gold,Australia,1,1332,1332
Dana Faletic,F,27,Australia,AUS,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze,Greece,1,1494,1494
"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,23,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Bronze,United States of America,5,898,1944.05
"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Silver,Australia,1,1332,1332
"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,32,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Greece,1,1494,1494
Renita Maree Farrell-Garard,F,24,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,United States of America,5,898,1944.05
Renita Maree Farrell-Garard,F,28,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Australia,1,1332,1332
"Gregory John ""Greg"" Fasala",M,19,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,United States of America,5,287,1944.05
"Joseph Ray ""Joe"" Fazio",M,26,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Eights,Silver,Mexico,1,9.8,9.8
Jaime Francisco Fernandez,M,29,Australia,AUS,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Silver,Australia,1,1332,1332
Michelle Louise Ferris,F,19,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,Cycling Women's Sprint,Silver,United States of America,5,898,1944.05
Michelle Louise Ferris,F,23,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Women's 500 metres Time Trial,Silver,Australia,1,1332,1332
"Nicholas David ""Nick"" Ffrost",M,21,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,China,1,1739,1739
Gavin Fingleson,M,28,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Greece,1,1494,1494
Maree Beverley Fish,F,25,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
"Debra Lee ""Debbie"" Flintoff-King",F,28,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 400 metres Hurdles,Gold,South Korea,2,403,1839
