Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Host_Countries,Count,Broadcast_Revenue,Sum_Revenue
Bronte Amelia Arnold Barratt,F,27,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Brazil,1,2868,2868
Suzy Batkovic (-Brown),F,23,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver,Greece,1,1494,1494
Suzy Batkovic (-Brown),F,27,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver,China,1,1739,1739
Suzy Batkovic (-Brown),F,31,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze,United Kingdom,1,2569,2569
"James Stewart ""Jim"" Battersby",M,25,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze,United States of America,5,287,1944.05
Ryan Neville Bayley,M,22,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Sprint,Gold,Greece,1,1494,1494
Ryan Neville Bayley,M,22,Australia,AUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Keirin,Gold,Greece,1,1494,1494
Gemma Beadsworth,F,21,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze,China,1,1739,1739
Gemma Beadsworth,F,25,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze,United Kingdom,1,2569,2569
Colin Kenneth Beashel,M,36,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Bronze,United States of America,5,898,1944.05
Nicole Elise Beck,F,28,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold,Brazil,1,2868,2868
Amber Gerganiya Beckitt (-Shelley),F,19,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Italy,2,1.2,832.2
Dale Begg-Smith,M,21,Australia,AUS,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Men's Moguls,Gold,Italy,2,831,832.2
Dale Begg-Smith,M,25,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Men's Moguls,Silver,Canada,3,1280,1640
Tracey Lee Belbin,F,21,Australia,AUS,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold,South Korea,2,403,1839
Mathew Belcher,M,29,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Gold,United Kingdom,1,2569,2569
Mathew Belcher,M,33,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Two Person Dinghy,Silver,Brazil,1,2868,2868
David Bell,M,21,Australia,AUS,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Silver,Canada,3,35,1640
"Lynette ""Lyn"" Bell (-Chipchase)",F,17,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Japan,4,1.6,3694.1
"Lynette ""Lyn"" Bell (-Chipchase)",F,21,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Mexico,1,9.8,9.8
